Mycth_100011,6.51 
Mycth_100068,0.36 
Mycth_100089,2.09 
Mycth_100127,164.02 
Mycth_100290,23.08 
Mycth_100400,0.00 
Mycth_100401,0.05 
Mycth_100435,2.33 
Mycth_100489,12.49 
Mycth_100518,0.00 
Mycth_100519,24.92 
Mycth_100541,3.22 
Mycth_100566,0.00 
Mycth_100589,3.76 
Mycth_100608,0.71 
Mycth_100654,13.49 
Mycth_100744,20.99 
Mycth_100777,20.97 
Mycth_100809,29.68 
Mycth_100838,139.43 
Mycth_100975,7.72 
Mycth_101019,82.71 
Mycth_101105,28.50 
Mycth_101107,6.94 
Mycth_101172,1.25 
Mycth_101222,0.09 
Mycth_101224,0.61 
Mycth_101261,1.78 
Mycth_101321,0.76 
Mycth_101345,1.26 
Mycth_101354,0.12 
Mycth_101394,34.58 
Mycth_101399,7.61 
Mycth_101406,23.27 
Mycth_101411,38.64 
Mycth_101506,4.63 
Mycth_101575,5.73 
Mycth_101588,28.83 
Mycth_101623,0.20 
Mycth_101673,2.17 
Mycth_101679,2.72 
Mycth_101730,0.18 
Mycth_10175,8.91 
Mycth_101762,15.17 
Mycth_101800,1.09 
Mycth_101870,3.08 
Mycth_101972,2.39 
Mycth_102118,1.34 
Mycth_102133,0.31 
Mycth_102138,140.67 
Mycth_102172,0.05 
Mycth_102226,0.20 
Mycth_102290,17.53 
Mycth_102295,13.97 
Mycth_102297,0.05 
Mycth_102322,4.44 
Mycth_102448,0.00 
Mycth_102510,7.70 
Mycth_102522,65.00 
Mycth_102533,9.06 
Mycth_102652,26.89 
Mycth_102790,2.52 
Mycth_102792,26.08 
Mycth_102797,10.02 
Mycth_102849,0.16 
Mycth_102871,11.47 
Mycth_102878,3.68 
Mycth_102943,6.34 
Mycth_102965,28.37 
Mycth_102971,5.64 
Mycth_102977,10.34 
Mycth_102985,11.61 
Mycth_102997,0.00 
Mycth_103022,0.07 
Mycth_103025,53.63 
Mycth_103032,0.77 
Mycth_103061,5.21 
Mycth_103070,15.50 
Mycth_103080,24.35 
Mycth_103090,17.26 
Mycth_103096,5.22 
Mycth_103122,4.06 
Mycth_103124,0.60 
Mycth_103134,3.05 
Mycth_103164,0.00 
Mycth_103320,0.00 
Mycth_103330,13.02 
Mycth_103334,65.07 
Mycth_103379,5.27 
Mycth_103537,1.17 
Mycth_103571,6.24 
Mycth_103590,1.50 
Mycth_103611,5.58 
Mycth_103620,43.98 
Mycth_103628,47.50 
Mycth_103671,61.66 
Mycth_103702,16.14 
Mycth_103794,0.59 
Mycth_103797,0.33 
Mycth_103818,1.16 
Mycth_103867,2.27 
Mycth_104005,2.58 
Mycth_104059,7.19 
Mycth_104076,71.58 
Mycth_104102,0.25 
Mycth_104106,2.56 
Mycth_104267,20.76 
Mycth_104380,33.45 
Mycth_104386,1.00 
