reactionid,flux
R2,5.841252079678396
R6,3.9136388933845274
R7,3.913638893384526
R9,18.721545919379533
R21,0.2988053601737027
R22,0.2781467040927813
R24,0.0044733511976306
R25,0.3085069791469391
R40,21.661591145043246
R42,21.66159114504325
R46,1.5465145732523025
R50,21.86541416625507
R51,21.865414166255068
R53,0.0837396535861484
R54,0.3605848898977016
R55,0.6649388506072059
R60,0.6649388506072058
R61,0.2206143071233557
R62,0.2206143071233557
R74,0.3534092746745226
R104,1.2171628889615256
R107,0.5772932536309354
R108,0.1064553918571137
R109,0.3060183767489551
R111,0.1912027534519381
R115,0.6250804277642471
R117,0.3880271977986505
R128,0.1705590089423201
R134,0.1166788610697935
R144,0.0661438963291037
R145,1.5409525510983837
R151,0.1166788610697935
R159,0.1166788610697935
R165,0.1282463512313826
R169,0.0661438963291037
R171,0.0835436899529911
R173,0.0016350869894787
R177,0.0836053913488205
R178,0.0983211742541295
R181,0.0227061136652147
R182,0.0620407535064494
R189,0.007249914009953
R192,0.0534334087882498
R210,0.0716661712558339
R214,0.0716661712558339
R215,0.0716661712558339
R235,0.0835436899529911
R238,0.155209861208825
R244,0.0835436899529911
R255,0.1041874344626091
R302,0.0224766926957436
R303,0.0115076662047257
R351,0.1399705827743458
R395,0.0028382642081518
R398,0.0028382642081518
R400,0.0193776318671983
R401,0.0193776318671983
R402,0.2038230212118176
R431,0.0222158960753502
R441,0.0534334087882498
R504,0.025055352776507
R505,0.025055352776507
R512,0.0001493790793029
R517,0.0001493790793029
R522,0.0001493790793029
R527,0.0001493790793029
R532,0.0001493790793029
R537,0.0001493790793029
R542,0.0001493790793029
R547,0.0001493790793029
R583,0.0001493790793029
R584,0.0003025453902819
R585,8.168987151529715e-05
R615,0.0028620192455461
R616,0.0028620192455461
R617,3.0498999958466407e-05
R619,0.2781467040927813
R731,0.0154561996552616
R784,0.003625126683815
R802,0.1399516463134213
R835,0.0184011640872212
R844,0.0028620192455461
R846,0.0012465532999411
R847,0.0012465532999411
R848,0.0012465532999411
R851,0.0007681823780758
R866,0.1166788610697935
R880,0.1433583187993121
R903,0.0028382642081518
R904,0.0028382642081518
R905,0.2038230212118176
R906,0.2038230212118176
R915,0.0028382642081518
R922,3.0498999958466407e-05
R923,0.1705590089423201
R936,0.0107915741305599
R939,0.0227061136652147
R940,0.0227061136652147
R941,0.0227061136652147
R942,0.0227061136652147
R943,0.0227061136652147
R944,0.0227061136652147
R946,0.0227061136652147
R947,0.0227061136652147
R977,0.0004300155379537
R989,0.0620407535064494
R1001,0.0001493790793029
R1004,0.0998637091498642
R1005,0.0998637091498642
R1006,0.0998637091498642
R1013,0.0998637091498642
R1014,0.0998637091498642
R1015,0.0998637091498642
R1016,0.0998637091498642
R1033,0.6985378530543921
R1036,10.861942173008568
R1106,0.0635649013862323
R1107,0.0222158960753502
R1114,0.0635649013862323
R1122,2.27943537569113
R1171,0.0001493790793029
R1188,0.0534334087882498
R1194,0.0806437243490099
R1195,0.0806437243490099
R1197,0.0806437243490098
R1199,0.0806437243490099
R1200,0.0806437243490099
R1201,0.0806437243490099
R1202,0.0606833227982029
R1203,0.007249914009953
R1205,0.0199604015508069
R1206,0.0199604015508069
R1207,0.0199604015508069
R1269,0.0204293938605088
R1270,0.0204293938605088
R1271,0.0204293938605088
R1272,0.0204293938605088
R1273,0.0204293938605088
R1274,0.0204293938605088
R1275,0.0431355075257235
R1278,0.0057690805100477
R1280,0.0116492235325884
R1282,0.0061146083266923
R1284,0.0061146083266923
R1285,0.0061146083266923
R1312,1.7095316671409089
R1313,0.001704482549368
R1321,0.0193776318671984
R1345,0.0116492235325884
R1367,0.0314862839931351
R1368,0.0314862839931351
R1369,0.0044733511976306
R1370,0.0204293938605088
R1371,0.0431355075257235
R1372,0.0044733511976306
R1375,0.020643744509618
R1376,0.020643744509618
R1377,0.0170339043466196
R1380,0.0112648238365713
R1383,0.0061146083266923
R1384,0.0057690805100477
R1411,0.0061146083266923
R1414,0.0057690805100477
R1420,0.0057690805100477
R1440,0.020643744509618
R1444,0.0057690805100477
R1455,0.0028382642081518
R1461,0.0057690805100477
R1505,0.0282407288711108
R1518,0.0001769997091459
R1520,4.606009198663802e-05
R1521,0.0001086654132649
R1523,4.606009198663802e-05
R1524,0.0001493790793029
R1526,2.303004599331901e-05
R1527,2.303004599331901e-05
R1528,2.303004599331901e-05
R1529,2.303004599331901e-05
R1530,6.546980857966769e-05
R1531,6.546980857966769e-05
R1532,3.1302660639144186e-05
R1533,3.1302660639144186e-05
R1534,3.41671479405235e-05
R1535,3.41671479405235e-05
R1536,7.45969875577299e-05
R1537,7.459698755772989e-05
R1538,7.478209174521805e-05
R1539,7.478209174521806e-05
R1543,0.0660513442353596
R1566,6.731771065800631
R1568,0.0700310842663552
R1569,0.0700310842663551
R1583,0.1950381122166949
R1584,0.0278304145888453
R1598,1.927613186293871
R1603,0.0107915741305599
R1604,0.0107915741305599
R1605,0.0107915741305599
R1606,0.0107915741305599
R1607,0.0107915741305599
R1608,0.0107915741305599
R1609,0.0107915741305599
R1610,0.0107915741305599
R1611,0.0107915741305599
R1612,0.0107915741305599
R1632,0.0107915741305599
R1658,0.0168641823171112
R1664,0.0044733511976306
R1665,0.0044733511976306
R1680,0.0647494447833596
R1690,0.0647494447833596
R1691,0.0647494447833596
R1692,0.0647494447833596
R1693,0.0647494447833596
R1694,0.0215831482611198
R1710,0.0154561996552616
R1818,0.007249914009953
R1822,0.189083927519159
R1823,0.1230325832837993
R1824,0.1230325832837993
R1825,0.1230325832837992
R1830,0.189083927519159
R1831,0.0620407535064494
R1836,0.1230325832837992
R1864,0.1230325832837993
R1869,0.0241098204203332
R1870,0.0181710610717547
R1871,3.0498999958466404e-05
R1872,3.0498999958466404e-05
R1873,3.0498999958466404e-05
R1960,0.0030764315960532
R1961,0.027256591607632
R1962,3.5614569891733843
R1967,3.0498999958466404e-05
R1968,0.0107915741305599
R1970,0.0107915741305599
R1971,0.0107915741305599
R1974,0.3085069791469391
R1975,2.8
R2042,0.0057690805100477
R2157,3.374750331525445
R2158,0.0044960958039999
R2159,0.3489696202920365
R2160,3.2808694923408126
R2165,2.8047147620229627
R2166,0.0004300155379537
R2203,2.0865633300714954
R2237,0.0559953309549164
R2238,2.3074699577307305
R2241,0.0044733511976306
R2252,0.3662466050708763
R2256,0.0094927597483513
R2299,17.10577384227355
R2308,2.093178573654184
R2313,0.1912027534519381
R2316,0.3060183767489551
R2321,0.0620407535064494
R2322,0.0716661712558339
R2325,0.6382392384591877
R2326,0.9111445122125704
R2329,1.9552133047327105
R2331,0.0419973018768567
R2334,0.0001493790793029
R2387,0.0061146083266923
R2391,2.143874745610874
R2392,21.331975426367976
R2422,18.57818760058022
R2429,0.3662466050708764
Biomass,0.3085069791469392
R2528,0.3662466050708763
R2531,9.212018397327605e-05
R2532,0.0001252106425565
R2533,6.833429588104701e-05
R2534,0.3085069791469391
R2535,0.3085069791469392
R2536,0.3085069791469391
R2537,0.3085069791469391
R2538,0.3085069791469391
R2560,0.1230325832837993
R2602,0.1705590089423201
R2603,0.1705590089423201
R2605,5.909401271371955
R58,0.3043539607095043
R105,0.9111445122125704
R438,0.3662466050708764
R439,0.3662466050708763
R586,0.0001239513170676
R736,0.3662466050708763
R753,0.0119176153492368
R894,0.2021879342223389
R1037,0.0107915741305599
R1373,0.020643744509618
R1382,0.0044101257773242
R1426,0.0057690805100477
R1541,0.0621901325857524
R1597,5.555991996697433
R1698,0.0835436899529911
R1719,0.0119176153492368
R2146,0.0001493790793029
R2182,0.0061146083266923
R2201,21.33197542636798
R2202,2.143874745610874
R2204,18.57818760058022
R2263,0.3662466050708764
R2306,2.8314731148592736
R2310,0.6250804277642471
R2317,0.1705590089423201
R2318,0.020643744509618
R2323,0.0998637091498642
R2328,5.583296150123333
R2330,2.338020943583226
R2393,2.3074699577307305
R2396,2.086563330071496
R2397,0.0559953309549164
R2398,0.0044733511976306
R2400,16.795522568157587
R2527,0.3662466050708764
R2561,0.1041874344626091
R2601,0.17055900894232
R15,0.3444735244880365
R36,21.44536163598276
R43,10.843541008921347
R56,0.6649388506072058
R114,1.323618280818639
R152,0.1161220269509079
R158,0.0005568341188856
R166,0.0661438963291037
