	log2FoldChange	pvalue
MYCTH_2297828	-1.125268226	0.005178413
MYCTH_2123711	0.114708266	0.852160621
MYCTH_2297831	0.424403836	0.169434562
MYCTH_2137349	-0.453102994	0.183179202
MYCTH_2297835	-0.057002189	0.815662159
MYCTH_2076935	0.907379901	0.001236592
MYCTH_2297839	1.334091646	1.24435E-10
MYCTH_2297841	2.119580966	0.002159577
MYCTH_2089545	2.251752813	2.10869E-27
MYCTH_2297847	0.4749283	0.005050732
MYCTH_2297849	-0.215699908	0.400673176
MYCTH_2313974	-0.368796359	0.014083276
MYCTH_2297853	-0.412947489	0.014708698
MYCTH_2297855	-0.841386481	6.25522E-06
MYCTH_2142209	-0.174426015	0.176980565
MYCTH_105318	0.56986659	0.016357861
MYCTH_39983	0.094424934	0.667117965
MYCTH_40109	-0.011716645	0.954337973
MYCTH_2050514	1.015428557	0.001671562
MYCTH_2107516	-0.569622536	0.014024587
MYCTH_2085772	0.561041799	0.129087772
MYCTH_2297869	0.763402432	0.000509085
MYCTH_2297870	-0.332289693	0.204838809
MYCTH_2297871	-0.508938838	0.171256942
MYCTH_39013	-0.800840941	0.0661845
MYCTH_2297873	0.328643006	0.087881966
MYCTH_2132417	0.100949347	0.492081693
MYCTH_2313981	-0.141039669	0.668569383
MYCTH_2297882	-0.006726893	0.981032049
MYCTH_2297883	-0.02937561	0.886030762
MYCTH_98253	-0.849193939	0.009371006
MYCTH_2297886	0.062935552	0.793182088
MYCTH_2297887	-1.162121879	6.50111E-09
MYCTH_2142220	0.245285343	0.146472364
MYCTH_2297891	0.274863649	0.052080374
MYCTH_2297894	-0.549358174	0.077468473
MYCTH_2297896	0.215489746	0.167184662
MYCTH_2073197	0.44635302	0.000190737
MYCTH_2297904	1.663660708	2.51005E-11
MYCTH_98264	0.096365311	0.482144801
MYCTH_2313989	0.347025959	0.049249252
MYCTH_2297920	0.0745399	0.796580151
MYCTH_2297925	-0.123945919	0.607999765
MYCTH_2297927	-0.427631964	0.111429328
MYCTH_2297930	-0.155413693	0.487037525
MYCTH_2297932	-0.321628603	0.362934666
MYCTH_2313991	-1.022218666	0.000862507
MYCTH_2297938	-0.223389281	0.327718106
MYCTH_2297939	-2.058553643	0.000294471
MYCTH_2297943	1.447910328	2.55935E-07
MYCTH_2297948	0.323968088	0.006354173
MYCTH_2297950	0.611302859	0.004297572
MYCTH_113450	0.275715926	0.251228112
MYCTH_2297953	0.531061144	0.000824449
MYCTH_2297954	-0.118193353	0.656364772
MYCTH_2297957	0.744316115	0.001392332
MYCTH_90344	-1.121071213	0.003823312
MYCTH_2297964	-1.829609983	5.64051E-12
MYCTH_2132441	0.599312683	3.32173E-05
MYCTH_2297971	1.241590102	8.99083E-08
MYCTH_2297975	0.500553778	0.003607427
MYCTH_2297977	-0.510895805	0.000221332
MYCTH_2297981	-0.243732515	0.432277771
MYCTH_2297984	-0.435468312	0.005964759
MYCTH_2297985	-1.018047507	0.000152344
MYCTH_113457	-0.189878901	0.246236362
MYCTH_86350	0.915822504	0.000921425
MYCTH_90354	0.262392845	0.280204701
MYCTH_74927	0.070950026	0.740961657
MYCTH_2314005	0.220988546	0.367217375
MYCTH_2035984	1.198310349	7.65789E-05
MYCTH_40668	-0.916338698	2.30604E-05
MYCTH_2298010	0.766834169	0.00744966
MYCTH_2298011	0.931979235	4.7084E-09
MYCTH_86355	0.129000052	0.348819038
MYCTH_2298018	0.352561245	0.076913271
MYCTH_2073265	1.261446612	8.39326E-09
MYCTH_2298027	-0.670239197	0.000845316
MYCTH_2298028	0.135955186	0.494652337
MYCTH_2314011	-0.323800394	0.307545261
MYCTH_2298031	0.247389842	0.233209052
MYCTH_98303	0.647872524	0.000952607
MYCTH_2298035	0.935170293	6.14246E-06
MYCTH_2298036	-0.482433812	0.067644197
MYCTH_2132459	1.070454167	0.002208757
MYCTH_2298040	1.832776447	7.16156E-18
MYCTH_2142250	-0.702429275	0.013111874
MYCTH_2298042	0.820330219	3.65848E-05
MYCTH_2298045	-0.480447435	0.012850712
MYCTH_2085895	0.106194725	0.564751346
MYCTH_2298049	-0.321681269	0.212663184
MYCTH_74969	0.37407107	0.000461031
MYCTH_2298055	0.000472684	0.998255751
MYCTH_2298057	-0.978851109	0.009818746
MYCTH_74974	0.35055989	0.047930449
MYCTH_98316	-0.673429425	0.414065996
MYCTH_39317	-0.486102207	0.030746523
MYCTH_98318	-3.136418878	3.80395E-11
MYCTH_2298064	-0.47510281	0.006226869
MYCTH_2298071	0.400725784	0.035474074
MYCTH_2115670	-0.513971907	0.152186441
MYCTH_2298080	-0.561796165	0.000677086
MYCTH_2298082	-1.043786389	0.020895228
MYCTH_2048131	-4.605457609	0.14946324
MYCTH_2298084	-0.667365724	0.01296997
MYCTH_2298086	-0.074574076	0.89291718
MYCTH_40928	0.032701708	0.937493898
MYCTH_2298090	0.382767759	0.141014496
MYCTH_12171	0.383233869	0.338208218
MYCTH_2298093	0.001922255	0.993882482
MYCTH_2298096	-0.538970738	0.18317482
MYCTH_98330	-0.131971766	0.921636739
MYCTH_2298100	0.92393196	4.43634E-05
MYCTH_2298102	0.121295071	0.615526823
MYCTH_2298104	1.166900009	2.1173E-08
MYCTH_2314025	-0.508138908	0.00137186
MYCTH_2298111	0.083810983	0.476472617
MYCTH_2298114	0.561150609	1.10886E-07
MYCTH_2298116	0.491568922	0.050737349
MYCTH_2314027	-0.364721765	0.145715743
MYCTH_2137429	0.07812906	0.646871159
MYCTH_2107611	0.447756899	0.493972962
MYCTH_2298121	0.458164068	0.066825238
MYCTH_109978	-0.066671499	0.715571939
MYCTH_2314032	0.135829169	0.646257089
MYCTH_2298129	-1.482957129	9.71405E-07
MYCTH_2132486	0.178061436	0.327505783
MYCTH_2298133	0.108405522	0.546910028
MYCTH_2298134	0.095728808	0.571275827
MYCTH_2298136	1.205532101	1.08243E-08
MYCTH_2298141	0.381205102	0.07656591
MYCTH_2298143	-0.538972104	0.002270942
MYCTH_2054541	-0.208656555	0.250658005
MYCTH_2298145	-0.219311037	0.349799766
MYCTH_2298148	0.559115565	0.002617132
MYCTH_2298150	-0.202686265	0.561758215
MYCTH_2298152	-0.190803318	0.751554613
MYCTH_2053528	0.918649966	0.783382782
MYCTH_2298153	-0.266335349	0.239319982
MYCTH_2051156	-2.461716051	0.037416565
MYCTH_2298160	-0.610456354	0.001159563
MYCTH_2298163	-0.379227627	0.067428978
MYCTH_2298167	0.036391946	0.854150043
MYCTH_2298170	-0.064820671	0.753083055
MYCTH_2085975	-1.136852522	3.93962E-06
MYCTH_2298183	-0.642920056	0.033874508
MYCTH_2107631	-2.728750361	0.025830476
MYCTH_2298190	0.351880066	0.012147931
MYCTH_2298194	1.316678495	5.69268E-06
MYCTH_2123876	1.510034308	0.000186267
MYCTH_2298196	0.685265461	0.001400912
MYCTH_2298198	0.495414084	0.032602022
MYCTH_2298199	0.782560546	3.2665E-11
MYCTH_2050741	0.762915353	7.7366E-06
MYCTH_2298203	-0.210774373	0.178835494
MYCTH_2298205	-1.152390905	2.66536E-10
MYCTH_98369	0.092595235	0.807087344
MYCTH_2298215	-0.187877514	0.27236747
MYCTH_2298216	-0.743692977	0.028299141
MYCTH_2298217	0.337868223	0.055476847
MYCTH_75070	-0.916377127	0.012401033
MYCTH_2298219	0.391140379	0.054308072
MYCTH_61192	1.551071526	0.000469367
MYCTH_2115734	-0.114578994	0.640099307
MYCTH_105405	0.460082388	0.006192451
MYCTH_2298226	0.221446291	0.31657789
MYCTH_2298228	0.125629613	0.604680207
MYCTH_2054145	-0.470783006	0.003197079
MYCTH_2298230	0.1643004	0.313652665
MYCTH_2298234	-0.04220414	0.839596294
MYCTH_2115740	0.477241768	0.729675354
MYCTH_2107654	-3.637695983	0.001394396
MYCTH_2298236	-1.912296279	0.02300485
MYCTH_2298240	-0.273953239	0.065617542
MYCTH_2298243	-0.644431572	0.002832276
MYCTH_2298245	-1.152061714	0.000680935
MYCTH_2298246	0.930471558	2.22725E-06
MYCTH_2298247	0.271662703	0.250943807
MYCTH_2298248	-0.45827488	0.163284433
MYCTH_2298252	0.792800995	5.69696E-10
MYCTH_75107	0.311635895	0.009454523
MYCTH_2298256	-0.686290081	0.000792468
MYCTH_2298257	0.154183228	0.845655471
MYCTH_2137468	0.331830577	0.381172425
MYCTH_2123911	0.139565237	0.626478374
MYCTH_2298262	-0.890286768	7.87235E-07
MYCTH_2298263	-0.081435539	0.715689403
MYCTH_2298271	0.515029177	0.051018242
MYCTH_2298274	0.273186619	0.268272541
MYCTH_2298276	-0.396774484	0.025899451
MYCTH_2298281	-1.359750805	1.33622E-17
MYCTH_2050348	-1.180903305	0.005271131
MYCTH_2298287	-0.353015708	0.115681665
MYCTH_2298288	-0.167620816	0.436424596
MYCTH_2298290	-0.156516646	0.233843075
MYCTH_89935	0	1
MYCTH_2298303	0.414760202	0.10553479
MYCTH_97932	1.405255185	1.86132E-08
MYCTH_39658	-1.576899999	0.060862493
MYCTH_2123928	0.418612046	0.15887974
MYCTH_2298307	-1.280075147	0.31200819
MYCTH_2298309	-0.275323555	0.187130248
MYCTH_2298317	0.236569286	0.576594162
MYCTH_2314075	-0.376352198	0.062368336
MYCTH_2298329	0.080383558	0.489674517
MYCTH_2298331	-0.135686986	0.852440919
MYCTH_2314077	0.428346816	0.269950351
MYCTH_2298333	0.398115211	0.019523599
MYCTH_89922	-2.301142448	0.744285939
MYCTH_60267	-0.675550583	0.311220593
MYCTH_2298337	-1.205887799	5.31487E-07
MYCTH_2298341	0.459225101	0.027429948
MYCTH_2298342	0.083948796	0.64087371
MYCTH_2298343	-0.103651272	0.818681346
MYCTH_2298347	-0.352107646	0.262757484
MYCTH_2298349	0.279647729	0.174005397
MYCTH_2073485	-0.496602311	0.001073392
MYCTH_2298352	0.224073099	0.309582205
MYCTH_2298354	-0.947571824	1.29097E-05
MYCTH_2298355	-0.683724814	0.252456084
MYCTH_2298356	-0.353211415	0.108657871
MYCTH_60238	-1.530213086	8.95585E-06
MYCTH_2298360	-0.267782885	0.195312407
MYCTH_2298363	-0.058980624	0.735133869
MYCTH_2298367	0.056389761	0.753240356
MYCTH_2298369	-0.313269461	0.142821238
MYCTH_38558	-0.149090688	0.629252827
MYCTH_2123955	-0.842738147	0.314400264
MYCTH_2298375	-1.199923274	0.000220778
MYCTH_2298376	-1.458625156	5.67671E-09
MYCTH_2298378	-0.920782382	1.0329E-09
MYCTH_2298380	-0.053240845	0.842023128
MYCTH_2314087	-0.047602088	0.936358347
MYCTH_2298384	-0.109746943	0.275967809
MYCTH_2298386	-0.168955009	0.380196462
MYCTH_74236	-0.065434812	0.620889733
MYCTH_2298390	0.118832336	0.649192438
MYCTH_109756	-0.092883677	0.65654601
MYCTH_97899	2.428276127	2.07887E-21
MYCTH_2123970	-0.545500039	0.470206556
MYCTH_2314092	-0.457944684	0.099870908
MYCTH_86146	-0.277172273	0.258652142
MYCTH_2298407	-0.353834593	0.012365797
MYCTH_t34	0	1
MYCTH_2298411	-1.018292791	0.000137256
MYCTH_2298414	0.532731219	0.008459152
MYCTH_2298417	-0.340553098	0.118261125
MYCTH_2132560	-0.298087567	0.130675869
MYCTH_2298421	-0.754145572	3.21094E-09
MYCTH_105072	0.843770416	2.25454E-06
MYCTH_2298428	-1.063170667	0.013407317
MYCTH_2298430	-1.375986557	8.48791E-11
MYCTH_2298433	0.485315503	0.001542152
MYCTH_2298434	-0.380703571	0.016678166
MYCTH_2298437	0.633150501	0.015363866
MYCTH_2298440	-0.422532743	0.169822848
MYCTH_2115815	0.696725899	0.002173555
MYCTH_86143	1.75145538	1.78977E-07
MYCTH_2115818	-3.172693434	0.692655082
MYCTH_2298443	1.961118195	6.54909E-08
MYCTH_2298447	0.197662699	0.342785954
MYCTH_39694	1.197019264	0.011042472
MYCTH_89872	4.881509359	1.86519E-27
MYCTH_40719	2.154802484	1.7577E-12
MYCTH_2298452	-0.425194974	0.20282226
MYCTH_2086155	0.051006306	0.732010394
MYCTH_2298455	0.749130579	0.181033744
MYCTH_60177	-0.258424845	0.034757266
MYCTH_2298462	-0.075880955	0.74723439
MYCTH_2298464	0.036798585	0.88725129
MYCTH_2298471	-0.264656105	0.122415137
MYCTH_2298473	-0.181608187	0.449173217
MYCTH_2298476	-0.230323137	0.184326073
MYCTH_2298478	-0.733055211	0.005417884
MYCTH_2298479	-0.43807593	0.013285227
MYCTH_105063	-0.078536336	0.643802445
MYCTH_2298482	-0.579205145	0.006110415
MYCTH_2132573	0.850866279	0.000354236
MYCTH_2298487	0.316584559	0.187105914
MYCTH_2298488	0.133079266	0.728541491
MYCTH_2298494	-3.499856058	3.19965E-09
MYCTH_2298497	0.097601824	0.899906959
MYCTH_2107761	-0.25466507	0.81396078
MYCTH_2298499	2.635847174	1.34531E-10
MYCTH_2298502	0.050327247	0.861998919
MYCTH_97859	-0.085478433	0.705308192
MYCTH_2298505	-0.138342763	0.467305235
MYCTH_2298511	0.172988081	0.432413694
MYCTH_2115844	0.128974196	0.785123644
MYCTH_2054232	#N/A	#N/A
MYCTH_2298514	1.202101526	0.004578315
MYCTH_2298517	0.244111553	0.295652126
MYCTH_2298519	2.434851846	1.24322E-17
MYCTH_2298521	-0.116169238	0.522265352
MYCTH_2298524	-0.035987072	0.827548428
MYCTH_2298528	-0.503094674	0.009794427
MYCTH_37094	0.01546072	0.933770091
MYCTH_2298531	0.934239272	6.22644E-06
MYCTH_2298535	-2.172401529	0.00522611
MYCTH_2073591	0.063108332	0.471832149
MYCTH_2298542	0.269977673	0.047774302
MYCTH_2298544	1.329056973	0.010491576
MYCTH_2055951	0.293142987	0.32543065
MYCTH_2298547	0.401976149	0.184598747
MYCTH_2298552	-0.121985297	0.554559189
MYCTH_2298553	-0.456435108	0.036198703
MYCTH_2298555	0.475352557	0.010438459
MYCTH_2086212	0.5620712	0.00705753
MYCTH_2298561	0.351658982	0.238488408
MYCTH_2298562	1.07199404	5.15075E-13
MYCTH_2115868	-0.332785395	0.143004253
MYCTH_2298565	-0.306454122	0.041142417
MYCTH_2298566	-0.742180768	1.71718E-07
MYCTH_2029593	3.275245585	0.008170709
MYCTH_2298570	-1.3119457	3.59168E-12
MYCTH_74126	-0.188418189	0.337713411
MYCTH_2124049	-0.856653762	5.44335E-06
MYCTH_2298578	0.524790663	0.002190652
MYCTH_2298579	-0.220020605	0.319651877
MYCTH_113138	-0.681248939	0.005314734
MYCTH_2314123	0.382632437	0.08727634
MYCTH_2298586	-0.110421089	0.457522598
MYCTH_2314125	-0.699092261	0.006310631
MYCTH_2314126	0.373622283	0.00377314
MYCTH_2298590	0.452698071	0.07582337
MYCTH_2298593	0.40684195	0.03235035
MYCTH_2298597	0.811532752	0.0587091
MYCTH_2298599	0.61471331	0.027579797
MYCTH_2086248	0.902463016	3.19797E-11
MYCTH_2298606	-0.511262931	0.003434716
MYCTH_t16	0.654173038	0.763850968
MYCTH_37110	-0.290148403	0.27339402
MYCTH_2298612	-0.307884783	0.108504454
MYCTH_2298614	0.580341407	0.001957198
MYCTH_2073656	0.631262484	2.31492E-06
MYCTH_2298622	0.165494408	0.287396831
MYCTH_2314130	0.140356728	0.450048372
MYCTH_2298626	-2.014329073	4.10127E-08
MYCTH_2298631	-0.131385875	0.550282921
MYCTH_2298636	-0.280315113	0.057266639
MYCTH_2298637	0.331404826	0.05449429
MYCTH_2107812	-5.281910598	0.00173633
MYCTH_2054491	0.331708634	0.084927705
MYCTH_2298641	-0.642706652	1.19937E-05
MYCTH_2298645	-0.184600205	0.324507257
MYCTH_2314136	0.34691993	0.062413505
MYCTH_2298652	0.208437066	0.352029198
MYCTH_2298655	-0.491689307	0.017381304
MYCTH_2298656	-0.009115631	0.973362791
MYCTH_2298657	-0.021219656	0.91237636
MYCTH_2124085	-0.268884215	0.323321064
MYCTH_2298661	-0.099931968	0.626473188
MYCTH_2298663	-0.407801305	0.153454433
MYCTH_74056	-0.393273984	0.005172786
MYCTH_t33	-2.756095944	0.102509176
MYCTH_2298666	0.044018302	0.746512191
MYCTH_2298669	-1.520663751	3.71585E-07
MYCTH_2298672	-0.737746287	6.75323E-05
MYCTH_2055700	0.501675779	0.184873314
MYCTH_2298680	-0.038556161	0.836031356
MYCTH_2124094	1.802339298	1.73241E-05
MYCTH_2107828	2.921950821	2.70108E-15
MYCTH_2298688	1.041283535	0.00013981
MYCTH_2054998	0.354827918	0.532700682
MYCTH_2298693	0.488037233	0.06139292
MYCTH_105006	-0.262218773	0.213831612
MYCTH_2298696	1.060165219	8.70009E-13
MYCTH_2298702	-0.559415577	0.000782558
MYCTH_2298705	-0.801525117	1.91746E-07
MYCTH_59997	-0.549516893	0.000814825
MYCTH_74026	-0.794428166	0.000287481
MYCTH_2298709	-0.622687482	0.173065686
MYCTH_2298711	-0.050720103	0.769286512
MYCTH_2298714	-0.088762013	0.600114634
MYCTH_2051209	1.026420012	1.32911E-05
MYCTH_2298716	-0.246210017	0.214152729
MYCTH_2314145	-0.033701486	0.898272447
MYCTH_2298717	-0.054357174	0.828903149
MYCTH_2298723	-0.753738542	1.33924E-05
MYCTH_74015	-0.323572556	0.179992973
MYCTH_2314148	-0.013483384	0.958453236
MYCTH_2052653	-1.343531438	0.05288336
MYCTH_2298729	0.174638505	0.319111723
MYCTH_2298731	-0.798139227	0.053077443
MYCTH_2298732	-0.038324477	0.881945177
MYCTH_2298733	-0.295395701	0.340730303
MYCTH_2298734	0.168034579	0.308823569
MYCTH_2314150	-0.276868495	0.110544579
MYCTH_2298741	-0.084020919	0.664227625
MYCTH_2298743	0.581602912	0.007254322
MYCTH_t32	-2.231999747	0.201889405
MYCTH_2298745	0.578622932	3.62289E-07
MYCTH_2298749	-0.633909514	0.614991531
MYCTH_2298750	-2.196932329	0.167496529
MYCTH_97762	-1.041178412	0.431496755
MYCTH_2298752	0.909027357	0.006379162
MYCTH_38704	1.102433319	3.84659E-05
MYCTH_59946	-0.023579895	0.887374675
MYCTH_2050486	1.383462174	0.314275813
MYCTH_2298766	0.380723728	0.010497028
MYCTH_2298770	0.508029319	0.003044869
MYCTH_2314155	-0.62560588	0.018957057
MYCTH_2298773	-0.674399292	0.000771094
MYCTH_2298783	1.317275718	8.35494E-05
MYCTH_2298784	0.425177326	0.082208561
MYCTH_2298789	-0.275159278	0.052535557
MYCTH_2086391	0.333964419	0.164200276
MYCTH_2298795	0.577259132	0.005697711
MYCTH_2298796	0.326857752	0.129691815
MYCTH_2298798	0.313522687	0.426781748
MYCTH_2298799	1.287525526	0.01989814
MYCTH_2298800	-0.253897979	0.267184311
MYCTH_2298801	-0.909651699	0.002590058
MYCTH_2314160	-0.074323846	0.72257537
MYCTH_t31	-2.992516838	0.479081478
MYCTH_2298808	-0.49456696	0.00071826
MYCTH_2298809	0.497474483	0.10749641
MYCTH_2298813	-0.24072475	0.153636448
MYCTH_2132657	0.010531826	0.9500723
MYCTH_86076	0.107380295	0.726779769
MYCTH_2298820	-0.140468427	0.303256901
MYCTH_2298824	0.069220835	0.758589366
MYCTH_2298825	0.206364365	0.273475435
MYCTH_2298826	0.83359655	0.00012853
MYCTH_2124155	-0.128679145	0.793061207
MYCTH_2298833	0.673043131	0.012088316
MYCTH_2314164	0.056406952	0.790452936
MYCTH_2298840	-0.37742673	0.093622438
MYCTH_2298841	0.159598208	0.452391013
MYCTH_2298844	-0.251557475	0.25186126
MYCTH_38313	-0.450123738	0.136887335
MYCTH_2298848	-0.461329993	0.387719947
MYCTH_2115983	0.303030724	0.238348431
MYCTH_2298852	3.312106186	8.78403E-05
MYCTH_113066	1.882477963	5.34036E-16
MYCTH_2298860	0.796731418	5.91522E-08
MYCTH_2298863	1.150652711	9.89595E-05
MYCTH_2298867	0.612598426	0.001137942
MYCTH_2298870	-0.17109824	0.486711502
MYCTH_2298873	-0.446694757	0.026193168
MYCTH_2298874	-0.179424667	0.337616172
MYCTH_2298875	-0.62563519	0.167934432
MYCTH_2298876	0.22744589	0.231241213
MYCTH_2037146	0.363668599	0.092030277
MYCTH_2124177	-0.797585686	4.0861E-05
MYCTH_89710	1.66391385	3.14054E-09
MYCTH_2124179	1.4456223	0.137800998
MYCTH_2298881	0.155498671	0.377947115
MYCTH_2298883	1.090342861	6.26369E-05
MYCTH_2049318	0.138486672	0.582004321
MYCTH_104959	0.272660836	0.166030988
MYCTH_2086451	-0.207077599	0.129980158
MYCTH_40310	-0.178397072	0.842468516
MYCTH_2116000	0.387117018	0.256369769
MYCTH_2298890	-0.72009385	0.344173963
MYCTH_2298893	0.0310824	0.97222647
MYCTH_2298894	0.410805178	0.132827556
MYCTH_2298895	-0.079456255	0.645757006
MYCTH_2314176	-0.670480629	1.25385E-07
MYCTH_97707	-0.198433385	0.515084843
MYCTH_59853	-0.495120416	0.028610303
MYCTH_2298906	0.214462754	0.258329169
MYCTH_2298909	-0.575442687	0.014285887
MYCTH_40367	-0.953384758	0.03050214
MYCTH_2314181	-0.548075414	0.000902656
MYCTH_2298914	0.310002452	0.247436984
MYCTH_2298916	0.328554157	0.597289532
MYCTH_2298918	0.348546933	0.11078032
MYCTH_2038387	-1.49186134	0.008940329
MYCTH_2298920	-0.656056704	0.005649274
MYCTH_2298921	-0.278326576	0.131519713
MYCTH_2298922	1.174087197	3.49814E-10
MYCTH_2086470	-0.53317108	0.001174602
MYCTH_37752	0.078537293	0.848429163
MYCTH_2298926	0.268448574	0.216364017
MYCTH_2053582	1.02998755	0.37370606
MYCTH_2298927	-0.474841835	0.064676499
MYCTH_2298928	-1.243498218	0.148986748
MYCTH_2298929	0.760878039	0.026056961
MYCTH_2107928	0.592693504	0.387570505
MYCTH_2298931	-1.064118878	5.40749E-08
MYCTH_2298934	0.308073739	0.218016319
MYCTH_2298937	-0.093265109	0.686502994
MYCTH_73877	-0.438299442	0.053388157
MYCTH_2298940	0.638318475	0.028103753
MYCTH_2124216	-0.425243959	0.243278909
MYCTH_2298945	-0.838564142	0.000685118
MYCTH_104945	-0.684093352	0.007647456
MYCTH_2298951	-0.304994019	0.460939718
MYCTH_2124220	0.086066267	0.747151464
MYCTH_2298952	0.360934224	0.141813589
MYCTH_2107938	0.284107547	0.156800742
MYCTH_2298956	-0.870977222	1.62837E-05
MYCTH_2124224	-0.102267311	0.867148018
MYCTH_2298958	-0.933429543	1.17064E-05
MYCTH_2132689	-0.359116198	0.000771531
MYCTH_89669	-1.470227457	1.78116E-10
MYCTH_2298968	-1.874765659	0.038023496
MYCTH_2298970	-0.885668652	0.077464274
MYCTH_2298973	0.102262744	0.7033843
MYCTH_73867	0.145543903	0.37652918
MYCTH_2051835	0.212187903	0.223873635
MYCTH_86049	0.23348828	0.216576485
MYCTH_2298981	-0.333552789	0.020912928
MYCTH_2298982	0.687930786	0.003601893
MYCTH_2298984	-0.966243297	9.39993E-06
MYCTH_t17	-0.44359191	0.929741499
MYCTH_2298987	-1.087132429	0.008782973
MYCTH_2298988	1.031840932	1.93378E-05
MYCTH_2298990	0.38719856	0.025559936
MYCTH_104936	-0.517297883	0.085640587
MYCTH_2298994	-0.145604616	0.444202115
MYCTH_2298996	-0.016993014	0.894091864
MYCTH_2298998	0.064878625	0.780205367
MYCTH_40012	-0.365968351	0.113663577
MYCTH_2299001	-1.400697607	1.17829E-08
MYCTH_2299002	-0.647973451	0.000782708
MYCTH_2086520	0.854256518	5.59884E-06
MYCTH_2299007	-0.195533378	0.487017623
MYCTH_2299008	-0.458450733	0.147944146
MYCTH_2299010	-0.531902133	0.017292091
MYCTH_2299012	-1.538036389	0.001885662
MYCTH_2299014	0.679802292	0.002067223
MYCTH_2299018	-0.012748021	0.962281633
MYCTH_2299021	-0.262743961	0.343217844
MYCTH_2107968	-2.169702283	0.011209497
MYCTH_2299023	-0.202509584	0.354405762
MYCTH_t30	-1.186722957	0.893660641
MYCTH_2299025	0.753416869	0.078398892
MYCTH_2299026	0.213031259	0.377876955
MYCTH_2314200	0.722337653	9.99889E-08
MYCTH_2299031	-1.53720105	6.69003E-19
MYCTH_40930	-0.691055768	0.005693252
MYCTH_2299032	-0.438683449	0.054800715
MYCTH_2299034	-0.395288281	0.03987351
MYCTH_2299035	0.0925876	0.709499769
MYCTH_2299037	-0.661861447	0.000256926
MYCTH_2299039	-0.648342363	0.019717706
MYCTH_2299040	0.005459228	0.984918513
MYCTH_2299041	-0.36248224	0.042838276
MYCTH_2299042	-0.550226904	0.039758852
MYCTH_2107979	-0.663059959	0.257198414
MYCTH_2299043	-0.415487298	0.01891085
MYCTH_2314205	-0.253379898	0.058936884
MYCTH_97642	-0.322988804	0.068002465
MYCTH_109638	-0.890386459	0.000136609
MYCTH_2299056	-0.373113651	0.125137558
MYCTH_2299061	0.3187897	0.071659812
MYCTH_2299064	0.824781066	2.95826E-06
MYCTH_2299066	-1.892357796	0.040563612
MYCTH_2299067	1.023372055	0.000322023
MYCTH_2299068	-0.010833335	0.969184428
MYCTH_2299070	0.161031828	0.479933503
MYCTH_2314212	-0.730307505	0.002233933
MYCTH_2142488	0.177614049	0.234496365
MYCTH_2124283	-0.500899251	0.686672562
MYCTH_2116084	0.309749445	0.148967823
MYCTH_2299077	0.257416903	0.325105071
MYCTH_2299079	-0.206231222	0.345981867
MYCTH_2299081	0.084216109	0.659208296
MYCTH_2299084	0.494349569	0.01722424
MYCTH_2299088	-0.138008482	0.784676902
MYCTH_2299089	0.651031642	0.006005563
MYCTH_39591	-0.246836605	0.299086097
MYCTH_2299092	-0.326394517	0.274150772
MYCTH_2299099	-0.066860199	0.697317928
MYCTH_2299100	-0.041656434	0.862254418
MYCTH_112996	0.519525153	0.072681266
MYCTH_40920	-0.02002983	0.95502215
MYCTH_2299107	1.726454129	4.79049E-40
MYCTH_2299109	0.498972523	0.330310094
MYCTH_2299110	-0.046726786	0.854140886
MYCTH_2299111	-0.961107795	0.000944787
MYCTH_89603	0.834233993	0.006985621
MYCTH_2299115	-0.441794666	0.028128054
MYCTH_122893	-0.25121757	0.120774072
MYCTH_t29	0	1
MYCTH_97617	0.013065174	0.937029324
MYCTH_2299123	-0.796992271	0.45582361
MYCTH_2035701	-0.247743026	0.404883339
MYCTH_2299125	-0.012195215	0.941574716
MYCTH_2299128	0.402435845	0.068101056
MYCTH_2299129	-0.237787452	0.096821346
MYCTH_2299133	-0.231734102	0.295675493
MYCTH_2299134	-0.041234879	0.800203941
MYCTH_2299136	0.260266065	0.126984644
MYCTH_2299137	-0.670650874	0.048594221
MYCTH_2299139	-0.906682002	0.002506428
MYCTH_2299142	0.29486247	0.231545006
MYCTH_2051357	0.829633271	0.001326936
MYCTH_2299145	0.205959188	0.229321365
MYCTH_2299147	0.026820211	0.871057782
MYCTH_2299149	0.112518079	0.741780465
MYCTH_2049301	0.183461521	0.562840334
MYCTH_2299151	0.115386593	0.789287694
MYCTH_2299152	-1.639113571	0.008123313
MYCTH_2299155	-0.166990096	0.494313623
MYCTH_2116126	0.87664548	0.000603117
MYCTH_2299157	-0.142652324	0.6481037
MYCTH_2054578	0.27623872	0.847259545
MYCTH_104887	0.161780486	0.63914974
MYCTH_2299158	0.638512907	0.012646409
MYCTH_109620	-0.963584861	0.000296929
MYCTH_2299167	-0.732543223	6.33251E-12
MYCTH_2050929	0.528672928	0.014542353
MYCTH_2299172	-1.051330498	0.00471381
MYCTH_2299174	-0.706897544	0.165587245
MYCTH_2299175	-0.771494091	0.002112298
MYCTH_2299177	-0.074809306	0.632515793
MYCTH_2299178	1.007110206	6.9032E-07
MYCTH_2050951	0.156564289	0.733892
MYCTH_2299180	-0.48221079	0.072927678
MYCTH_2299181	-0.735700423	0.042679515
MYCTH_2299183	-1.136767277	7.5193E-05
MYCTH_2299189	-0.00986075	0.963031629
MYCTH_2299193	-0.01620235	0.91386532
MYCTH_2299195	-0.108999337	0.379162032
