	log2FoldChange	pvalue
MYCTH_2294232	-0.886784164	0.00089855
MYCTH_2294233	0.251737558	0.370434666
MYCTH_2294236	0.721358835	0.016007921
MYCTH_2294238	-0.212453811	0.163417424
MYCTH_2294240	0.419934053	0.018048092
MYCTH_2294243	1.09730961	2.9936E-25
MYCTH_2050447	-0.00691117	0.973799783
MYCTH_2294247	0.441475789	0.038945273
MYCTH_2294249	-0.859800976	0.004717604
MYCTH_2294250	0.223979839	0.142147145
MYCTH_2294252	-0.476461865	0.006606502
MYCTH_2294253	-0.550826419	0.000227531
MYCTH_113715	0.499512309	0.007731478
MYCTH_2294261	-0.021696801	0.918599868
MYCTH_2294264	-0.538214608	0.014346058
MYCTH_105600	-0.992394029	1.20173E-05
MYCTH_2294267	0.540109537	0.004381833
MYCTH_2294268	-0.121705227	0.583189893
MYCTH_2294274	0.67897085	0.000557248
MYCTH_2073127	-0.012142623	0.933244087
MYCTH_2122065	1.412794596	0.090429996
MYCTH_2055311	-0.109852255	0.631804483
MYCTH_2294281	-0.235890275	0.375791898
MYCTH_43671	0.297680498	0.147218665
MYCTH_2073132	-0.106282101	0.466715627
MYCTH_2294289	-0.549616661	0.007018936
MYCTH_90789	0.318842708	0.388395257
MYCTH_2294293	-0.202139592	0.299463177
MYCTH_2122073	0.502849506	0.000168756
MYCTH_2294298	0.887807127	4.75971E-06
MYCTH_2294300	-0.6317688	0.006029667
MYCTH_2122076	0.310033893	0.711036194
MYCTH_2294303	0.131930059	0.503470336
MYCTH_2313301	-0.260862348	0.350625937
MYCTH_2074571	0.911137442	0.041562762
MYCTH_2106095	-0.238089405	0.411565734
MYCTH_2294307	0.311063289	0.145828709
MYCTH_2294309	0.394645384	0.127438652
MYCTH_2294310	0.706779966	0.0008513
MYCTH_2313303	0.512633212	0.023623206
MYCTH_2294314	1.135750162	5.77077E-05
MYCTH_2313305	1.091947167	8.05495E-08
MYCTH_2294321	0.836577714	0.000161393
MYCTH_2294324	-0.59076592	0.090623697
MYCTH_2294326	0.424832004	0.008493214
MYCTH_2294330	0.630567621	0.001790183
MYCTH_2294333	-0.737326995	0.000889192
MYCTH_2294336	-1.210225132	2.16621E-05
MYCTH_2114188	0.06824413	0.945414667
MYCTH_2294340	0.478068577	0.014462954
MYCTH_2294343	0.144471392	0.424199413
MYCTH_2294344	1.085791294	1.81692E-09
MYCTH_61858	-0.286568257	0.06831409
MYCTH_2294347	0.202690627	0.481760139
MYCTH_2294348	-1.071140947	0.348439642
MYCTH_2294350	0.139625056	0.791326442
MYCTH_2106114	-1.294151999	0.281225655
MYCTH_2294353	0.726770776	1.51004E-05
MYCTH_2122102	0.11306972	0.66074376
MYCTH_2294358	3.83343093	5.83265E-28
MYCTH_2122104	0.736152411	0.340956309
MYCTH_2294361	-0.195030491	0.591602177
MYCTH_2122106	0.442579035	0.635751763
