GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_2097778,109.88,98.15,79.72,75.3
Mycth_38200,108.94,82.34,49.08,43.79
Mycth_2299450,107.57,72.48,84.68,72.46
Mycth_2310678,107.29,108.31,84.01,76.18
Mycth_2303205,107.2,100.38,90.55,84.48
Mycth_112916,106.6,120.5,119.23,105.94
Mycth_116553,105.78,81.28,235.57,179.41
Mycth_54058,104.13,13.36,151.11,58.66
Mycth_2315754,103.99,47.04,56.9,55.45
Mycth_110061,103.43,28.53,41.07,37.59
Mycth_2093591,102.75,55.97,64.6,61.47
Mycth_2312046,102.4,56.83,72.62,80.17
Mycth_2296621,102.3,55.64,57.84,54.37
Mycth_2316301,101.78,64.01,49.8,45.5
Mycth_51411,101.04,83.7,101.18,109.04
Mycth_2129788,99.37,128.99,118,115.33
Mycth_2142157,96.74,77.39,67.89,69.91
Mycth_2307967,95.39,72.77,97.14,87.67
Mycth_2311126,95.12,22.8,41.07,36.63
Mycth_37570,94.88,44.57,53.71,35.32
Mycth_2316405,94.8,97.95,234.76,302.75
Mycth_2307289,93.22,50.43,64.34,46.1
Mycth_2088816,92,62.37,64,56.1
Mycth_2306027,91.9,18.16,25.38,18.61
Mycth_113450,91.03,57.25,106.37,87.15
Mycth_80312,89.61,193.25,885.22,482.55
Mycth_2295362,87.48,92.11,113.94,122.55
Mycth_2310394,87.34,76.04,81.55,98.99
Mycth_2299582,86.97,61.67,66.72,76.37
Mycth_2307110,86.43,43.46,50.01,59.19
Mycth_2303335,86.32,89.31,95.03,129.8
Mycth_2312218,85.56,65.96,22.08,33.67
Mycth_2307666,84.85,275.41,221.38,198.36
Mycth_111372,84.16,24.8,85.02,18.02
Mycth_85556,83.54,103.65,1661.5,960.24
Mycth_2301053,81.69,59.9,67,55
Mycth_2296164,81.64,155.57,104.81,116.29
Mycth_2295999,81.44,113,72.05,67.75
Mycth_2299218,81.09,70.23,84.95,90.92
Mycth_2313145,80.68,56.02,63.02,55.93
Mycth_2299402,80.36,90.88,89.24,80.31
Mycth_2303965,80.03,47.39,57.98,72.72
Mycth_2307354,80,79.79,118.77,134.02
Mycth_2297683,78.25,253.44,209.62,119.69
Mycth_2310437,77.44,68.11,83.44,69.87
Mycth_2298329,77.42,77.09,62.05,75.62
Mycth_2308944,77.11,66.52,46.98,46.68
Mycth_2312538,76.44,57.66,55.97,60.32
Mycth_2315009,76.18,49.05,66.25,64.46
Mycth_2298552,75.2,52.28,56.06,64.09
Mycth_104076,74.62,64.34,86.57,85.13
Mycth_2312626,74.21,43.17,28.17,19.99
Mycth_2313945,74.13,118.25,106.95,135.37
Mycth_2309458,74.11,22.64,278.03,383.44
Mycth_2302538,73.69,41.83,39.56,41.16
Mycth_2312968,71.01,38.68,45.78,31.28
Mycth_47699,70.62,86.89,79.76,68.08
Mycth_2085328,70.62,59.52,28.9,12.99
Mycth_108416,70.39,31.19,21.93,19.92
Mycth_2303271,70.31,64.15,52.25,53.12
Mycth_39279,69.81,13.94,524.98,368.29
Mycth_2303416,69.55,24.36,81.28,48.43
Mycth_2300999,69.45,63.92,169.6,187.04
Mycth_2302283,68.1,41.08,48.16,50.81
Mycth_2298342,67,62.42,64.42,58.23
Mycth_115935,66.57,93.63,97.49,86.92
Mycth_2301494,66.46,71.03,64.37,70.87
Mycth_2294755,66.3,213.94,570.3,557.44
Mycth_2296197,65.56,67.8,72.52,74.09
Mycth_2309077,65.48,39.8,51.59,46.16
Mycth_2305336,65.23,31.56,28.98,27.86
Mycth_53112,64.88,36.57,56.68,39.88
Mycth_2310881,64.78,56.52,67.11,59.66
Mycth_2302901,64.59,55.34,37.84,36.51
Mycth_2302852,63.86,30.78,34.43,24.32
Mycth_2299698,63.53,42.2,32.43,39.1
Mycth_2306203,63.42,122.51,4.87,2.77
Mycth_79026,63.29,64.92,41.57,27.23
Mycth_2312966,62.99,72.8,59.85,60.34
Mycth_2309843,62.86,53.02,36.34,26.57
Mycth_2309660,61.61,10.37,26.9,14.72
Mycth_2306862,61.18,21.29,49.25,48.82
Mycth_52463,60.62,59.37,226.02,74.36
Mycth_2306777,60.55,168.51,371.36,376.82
Mycth_43727,60.3,129.69,214.16,73.49
Mycth_2294281,60.25,58.47,52.13,53.24
Mycth_83025,59.77,16.88,17.3,12.96
Mycth_2294938,59.23,54.73,40.62,34.8
Mycth_2295424,58.37,55.05,61.19,57.29
Mycth_62175,58.08,43.4,25.77,23.83
Mycth_2313331,57.97,23.95,31.82,32.73
Mycth_39133,57.84,107.65,243.01,462.33
Mycth_2298723,57.69,47.22,45.47,42.98
Mycth_2309026,57.45,31.69,16.4,15.46
Mycth_2308895,57.43,82.65,37.17,32.97
Mycth_2307269,56.45,130.1,133.1,91.95
Mycth_59997,56.09,64.06,77.09,95.84
Mycth_2112181,56.05,43.24,41.18,39.11
Mycth_2303752,56.02,63.88,68.7,59.1
Mycth_84133,55.56,67.01,75.38,37.29
Mycth_2302511,55.4,64.08,63.79,62.63
Mycth_2309722,55.1,59.86,45.2,56.42
Mycth_2297685,54.92,60.82,84.38,80.63
Mycth_2312918,54.05,51.84,33.71,12.95
Mycth_2311611,53.75,53.82,61.6,65.26
Mycth_2309547,53.74,47.13,36.16,33.23
Mycth_2301334,53.63,84.84,99.4,85.23
Mycth_2309125,53.01,38.84,55.89,49.37
Mycth_41366,52.78,43.35,94.69,141.61
Mycth_2308030,52.06,48.4,29.14,24.66
Mycth_2304840,51.8,73.31,88.64,82.33
Mycth_2301054,51.77,44.86,50.3,68.33
Mycth_2300989,51.69,46.44,36.78,35.24
Mycth_79765,51.44,48.88,229.45,196.8
Mycth_2302074,50.84,47.78,17.72,15.11
Mycth_2306316,50.16,29.11,31.32,31.63
Mycth_50608,9.42,398.93,2020.07,1502.02
Mycth_97137,16.43,110.89,886.45,1323.09
Mycth_2304256,9.74,39.31,809,1187.02
Mycth_102522,16.97,521.53,1251.19,926.79
Mycth_100838,4.84,213.52,1522.43,854.55
Mycth_72393,39.35,701.57,1327.79,852.85
Mycth_114497,28.46,596.37,914.32,783.25
Mycth_2306588,5.43,613.57,1508.78,774.59
Mycth_38458,9.52,271.46,447.07,716.16
Mycth_2305952,29.83,12.32,315.17,597.42
Mycth_2126295,42.64,503.84,704,542
Mycth_2306786,20.31,284.21,544.08,532.78
Mycth_2298494,8.67,67.87,457.29,497.38
Mycth_100518,2.03,21,290.31,402.73
Mycth_2307339,15.49,150.01,339.63,379.09
Mycth_103537,30.93,87.47,327.55,369.56
Mycth_2313146,4.48,28.97,427.09,321.79
Mycth_100541,2.39,7.45,120.47,317.63
Mycth_90182,35.73,168.12,442.21,296.85
Mycth_98458,0.42,5.28,247.35,287.78
Mycth_2059579,7.62,155.92,333.96,279.23
Mycth_96141,39.19,140.56,380.31,263.11
Mycth_105128,32.59,311.07,370.75,262.53
Mycth_39233,6.63,5.2,90.46,235.4
Mycth_97899,4.79,4.11,70.45,229.57
Mycth_73480,31.32,36.01,134.65,224.63
Mycth_2298363,22.32,204.47,311.31,213.29
Mycth_102322,49.66,17.81,483.76,203.94
Mycth_2305458,40.25,142.28,404.65,196.46
Mycth_2308245,15.23,284.7,268.96,188.21
Mycth_2139585,26.96,234.02,269.58,180.72
Mycth_2302953,1.55,0.99,117.77,170.63
Mycth_75490,15.02,109.5,176.89,162.13
Mycth_2071628,0.16,3.41,76.31,157.71
Mycth_90517,4.53,3.65,88.73,153.5
Mycth_2305770,3.91,16.82,158.17,151.89
Mycth_2307580,43.07,81.07,150.16,149.04
Mycth_2301780,37.33,184.89,141.48,148.6
Mycth_2303298,32.83,134.59,250.37,148.11
Mycth_94336,7.56,40.89,172.3,141.96
Mycth_57502,18.67,79.07,144.07,138.46
Mycth_2294498,48.58,56.56,85.03,136.49
Mycth_2308381,4.37,11.66,113.14,132.59
Mycth_80304,7.87,40.78,124.71,128.88
Mycth_2300079,2.84,12.13,134.44,128.22
Mycth_111088,10.61,21.53,147.34,123.72
Mycth_2308362,44.94,67.14,207.54,122.71
Mycth_2298502,14.05,24.37,102.33,121.09
Mycth_2295307,23.56,75.95,237.17,121.03
Mycth_2299772,8.62,31.44,87.84,117.6
Mycth_52160,23.24,60.01,85.88,115.52
Mycth_2302225,32.62,66.05,103.2,115.38
Mycth_2298626,11.48,29.49,96.82,111.35
Mycth_80233,30.7,61.54,171.82,111.31
Mycth_111035,41.4,112.21,138.17,110.58
Mycth_2294074,23.6,47.54,83.83,105.38
Mycth_37844,0.51,1.91,125.23,104.99
Mycth_84377,12.98,33.62,59.33,103.85
Mycth_83019,46.33,105.02,89.73,101.98
Mycth_95293,8.81,15.11,82.24,101.88
Mycth_2297182,1.64,7.68,84.31,99.03
Mycth_2301869,35.46,59.56,119.65,97.8
Mycth_140261,1.52,15.44,95.15,96.12
Mycth_42071,23.47,62.17,103.59,94.89
Mycth_2313202,1.8,0.98,12.16,93.8
Mycth_92668,14.64,14.61,119.09,92.04
Mycth_2306784,22.46,54.66,85.86,91.52
Mycth_48909,0.94,2.09,76.41,90.54
Mycth_2297119,30.48,64.24,90.14,88.94
Mycth_2313137,34.48,81.35,82.61,88.46
Mycth_2114542,17.99,41.39,81.76,87.86
Mycth_80916,15.92,77.03,118.81,85.4
Mycth_2308477,1.46,17.99,57.36,85.29
Mycth_2300032,34.02,33.8,172.3,81.55
Mycth_2302321,13.21,75.7,72.3,81.18
Mycth_2116851,21.5,39.71,64.8,80.73
Mycth_111036,2.96,8.74,57.54,80.26
Mycth_98122,9.24,15.85,114.92,79.08
Mycth_2041611,0,0.81,53.01,77.49
Mycth_2312694,31.96,48.37,70.44,75.53
Mycth_2312844,43.89,75.01,61.99,73.51
Mycth_104570,0.72,49.67,170.13,73.12
Mycth_55581,16.9,13.38,98.63,72.6
Mycth_2111519,8.36,40.87,40.66,72.44
Mycth_66804,21.7,116.9,119.22,71.87
Mycth_53698,5.19,12.11,56.91,71.04
Mycth_68753,45.1,47.99,115.94,71.01
Mycth_2302517,29.01,31.04,55.93,70.91
Mycth_2303736,33.24,32.98,45.14,70.24
Mycth_2296256,22.4,58.01,75.51,70.2
Mycth_2312819,44.84,51.36,64.02,69.95
Mycth_103334,41.7,52.85,62.52,69.56
Mycth_92310,23.69,59.4,57.24,66.04
Mycth_116157,42.75,66.42,87.24,63.61
Mycth_71204,4.88,8.86,77.38,63.3
Mycth_2295228,11.31,16.65,52.33,62.93
Mycth_52469,39.68,35.41,89.41,60.68
Mycth_2296424,44.82,44.33,52.71,60.35
Mycth_43356,25.42,25.69,51.22,59.03
Mycth_50820,39.1,44.76,84.18,58.89
Mycth_58635,9.71,14.82,47.71,58.28
Mycth_101354,2.13,16.45,75.41,58.12
Mycth_2306087,7.28,46.25,80.64,57.49
Mycth_2302824,48.19,53.32,57.43,57.22
Mycth_2308311,1.84,2.96,13.53,56.66
Mycth_2301831,26.86,43.76,92.41,56.6
Mycth_2294851,41.86,31.63,43.01,55.72
Mycth_2302095,46.02,56.86,51.8,54.51
Mycth_2299856,17.3,39.55,112.22,54.38
Mycth_54601,5.89,26.21,57.94,53.41
Mycth_48804,39.5,59.85,116.3,52.22
Mycth_2060641,37.95,44.4,59.59,52.05
Mycth_100589,20.35,27.49,49.5,51.87
Mycth_2133773,4.62,36.81,39.28,51.49
Mycth_2302442,27.07,55.09,45.3,51.43
Mycth_2311902,19.86,32.55,38.11,51.33
Mycth_2294033,30.14,73.6,71.44,51.22
Mycth_2312604,43.36,31.45,26.21,50.93
Mycth_111073,10.88,18.26,31.84,50.09
Mycth_2306112,43.98,90.43,55.62,49.51
Mycth_2307864,18.96,46.21,71.11,48.96
Mycth_48379,0.36,0.04,38.53,48.79
Mycth_2308771,39.74,60.91,59.07,48.74
Mycth_2301180,47.55,53.74,50.55,48.46
Mycth_52713,9.07,11,32.74,48.36
Mycth_2309376,27.17,39.17,61.09,46.89
Mycth_2294783,31.93,29.11,72.17,45.89
Mycth_2308164,0.69,13.26,51.12,45.14
Mycth_103032,31.4,20.84,52.38,44.68
Mycth_2299749,25.32,23.25,26.35,44.66
Mycth_2297541,36.16,30.4,37.16,43.93
Mycth_2299780,38.43,25.92,38.66,43.82
Mycth_2305028,13.93,9.78,27.38,43.6
Mycth_2312374,30.77,55.36,50.24,43.56
Mycth_2300931,43.24,23.34,32.09,43.37
Mycth_2298352,33.78,42.26,42.07,43
Mycth_2311479,42.9,31.55,36.17,42.78
Mycth_2300398,39.58,34.22,38.84,42.69
Mycth_2294852,29.82,31.89,32.55,42.2
Mycth_116384,42.15,16.03,84.57,41.94
Mycth_2305992,2.23,21.15,27.78,41.79
Mycth_2300996,37.24,38.21,39.17,41.73
Mycth_102971,33.91,21.92,44.45,41.64
Mycth_2296960,29.24,32.78,52.52,40.97
Mycth_2297118,23.31,6.79,33.21,40.71
Mycth_2307423,41.69,34.85,42.46,40.18
Mycth_2298597,24.74,47,37,39.83
Mycth_2112126,5.18,3.87,23.26,38.55
Mycth_2303565,28.25,29.79,32.27,38.44
Mycth_2305709,8.79,6.62,52.95,38.42
Mycth_2295939,34.6,61.07,64.98,38.36
Mycth_58125,0.34,0.82,21.04,38.33
Mycth_2295445,13.58,38.91,38.08,38.08
Mycth_2301720,32.31,21.98,57.89,37.9
Mycth_83595,4.68,8.54,54.54,37.8
Mycth_2302289,37.07,34.17,41.02,37.59
Mycth_40885,21.42,20.5,53.67,37.55
Mycth_40111,8.12,11.19,52.49,37.33
Mycth_54618,38.79,39.89,39.19,35.92
Mycth_2106723,19.09,17.49,37.06,35.64
Mycth_104551,40.91,88.34,51.44,35.42
Mycth_40869,45.12,42.16,30.77,35.27
Mycth_2307619,6.03,17.8,28.52,35.14
Mycth_2296679,36.2,33.49,35.9,34.8
Mycth_2296160,30.29,28.06,36.29,34.72
Mycth_43163,48.94,22.56,46.39,34.51
Mycth_99077,30.46,33.6,54.22,34.1
Mycth_2135772,41.78,12.74,16.82,33.9
Mycth_2300011,36.58,32.66,36.36,33.83
Mycth_2315913,42.67,85.37,37.63,33.82
Mycth_2298622,40.6,35.88,35.34,33.71
Mycth_2297284,30.72,31.54,30.4,33.7
Mycth_37110,33.44,18.39,23.3,33.52
Mycth_112399,40.13,19.4,62,33.52
Mycth_104674,2.21,17.86,41.66,33.45
Mycth_2302583,31.35,27.31,30.91,33.29
Mycth_49700,2.43,13.98,59.6,33.1
Mycth_2298096,17.96,9.13,25.23,33.05
Mycth_2294006,31.24,42.25,43.65,33.05
Mycth_2106248,32.3,26.87,31.61,31.91
Mycth_2305382,19.92,24.65,25.87,31.83
Mycth_95226,15.46,23.12,38.46,31.44
Mycth_2308168,41.44,47.87,38.5,31.28
Mycth_81466,20.26,17.15,27.3,31.19
Mycth_2298031,25.22,26.96,26.56,31.03
Mycth_96032,8.59,20,32.82,30.87
Mycth_2307827,10.47,29.44,54.35,30.85
Mycth_2310321,21.27,49.39,28.84,30.33
Mycth_2297411,21.24,18.7,23.11,30.05
Mycth_2307822,4.18,4.84,21.44,29.6
Mycth_2306484,23.07,35.11,29.8,29.47
Mycth_2303065,3.05,6.16,16.84,29.44
Mycth_2294825,10.07,16.59,22.65,29.32
Mycth_2295857,42.72,38.73,30.15,28.93
Mycth_2311677,18.94,19.62,24.36,28.16
Mycth_96478,18.87,1.16,28.46,27.96
Mycth_2312753,31.95,28.25,26.32,27.91
Mycth_2303375,3.38,5.03,34.08,27.7
Mycth_2107968,26.03,18.31,26.98,27.63
Mycth_2294793,17.1,13.84,18.17,27.38
Mycth_2300359,25.97,21.97,28.95,27.21
Mycth_2308415,1.68,5.92,19.51,27.05
Mycth_2300721,35.72,34.17,26.2,26.93
Mycth_2310830,22.75,17.3,25.56,26.8
Mycth_2304539,28.69,24.49,23.87,26.72
Mycth_2304976,15.64,21,36.88,26.29
Mycth_2306748,16.66,16.45,20.42,26.15
Mycth_2296588,34.2,34.85,22.84,26.02
Mycth_2304858,19.67,18.45,26.63,25.96
Mycth_2304301,38.22,35.45,29.26,25.69
Mycth_80274,8.26,11.98,24.05,25.6
Mycth_54466,6.16,11.52,22.95,25.53
Mycth_2301633,24.43,21.42,26.02,25.41
Mycth_2296142,18.3,13.74,17.76,25.29
Mycth_2297176,39.05,20.12,22.97,25.06
Mycth_2305757,23.35,20.38,22.39,24.71
Mycth_2057978,27.29,26.81,22.2,24.53
Mycth_2310703,23.35,32.3,25.62,24.5
Mycth_2312204,29.17,16.28,23.51,24.24
Mycth_2299180,16.66,13.87,20.94,24.19
Mycth_2067210,30.89,25.33,22.32,24.04
Mycth_2308079,21.87,117.17,49.13,23.9
Mycth_2312882,30.1,29.82,22.37,23.85
Mycth_2072383,3.75,3.87,23.71,23.62
Mycth_104827,7.2,10.9,24.61,23.54
Mycth_99040,25.01,19.82,26.25,23.54
Mycth_2301308,19.33,22.24,22.22,23.29
Mycth_93131,15.79,29.58,21.11,23.22
Mycth_108615,17.78,38.16,19.72,23.16
Mycth_2301517,2.75,8.26,23.21,23.1
Mycth_114667,3.8,21.28,15.87,23.1
Mycth_55232,21.28,23.17,24.1,23.03
Mycth_2301875,22.88,25.8,24.3,23.01
Mycth_51766,40.63,38.96,43.59,22.98
Mycth_45081,3.77,26.73,36.57,22.72
