GeneID,F15.6,F25.1,F39.6,F48.7
Mycth_2307767,2.99,4.42,13.9,14.31
Mycth_74462,11.15,18.15,16.61,14.14
Mycth_2306681,10.61,10.12,12.5,14.14
Mycth_2301632,13.5,15.19,12.02,14.01
Mycth_2299483,28.64,6.11,10.85,13.62
Mycth_73270,27.73,39.84,13.66,13.48
Mycth_2311623,22.05,18.64,17.28,13.41
Mycth_2307231,4.36,2.8,11.9,13.34
Mycth_2121768,8.02,19.3,11.95,13.31
Mycth_2299145,17.06,14.19,13.81,13.27
Mycth_2300345,7.27,12.46,16.34,13.14
Mycth_2306764,9.05,11.13,10.88,13.08
Mycth_2310660,16.81,11.65,13.23,13.07
Mycth_107796,4.18,24.68,43.39,13.01
Mycth_2306025,8.2,2.58,3.99,12.96
Mycth_64095,4.48,5.03,11.45,12.87
Mycth_2313159,6.14,8,9.15,12.79
Mycth_2309764,38.12,19.84,23.04,12.79
Mycth_2302123,15.73,10.39,13.35,12.75
Mycth_2310035,17.59,18.58,20.05,12.7
Mycth_2303939,19.24,21,10.89,12.62
Mycth_2309690,1.88,1.09,10.81,12.54
Mycth_52514,1.07,4.85,6.92,12.51
Mycth_96111,11.43,17.84,12.35,12.28
Mycth_2296861,11.81,8.54,11.28,12.12
Mycth_2295704,20.85,8.12,13.24,11.97
Mycth_2301721,1.77,3.7,11.45,11.8
Mycth_2307810,1.51,0.9,7.1,11.77
Mycth_2119730,10.23,21.54,12.63,11.75
Mycth_103330,10.08,8.78,9.48,11.74
Mycth_2307222,3.35,4.82,6.98,11.61
Mycth_2310628,12.69,14.5,11.08,11.61
Mycth_2296368,16.87,12.93,13.74,11.59
Mycth_82558,17.81,11.84,11.79,11.36
Mycth_2301722,10.3,12.33,8.42,11.31
Mycth_2081895,23.3,64.42,27.99,11.24
Mycth_101506,5.29,5.99,8.95,10.78
Mycth_2303015,0.15,0.05,4.84,10.57
Mycth_2094324,8.12,9.05,10.43,10.3
Mycth_2307275,4.86,4.89,8.86,10.27
Mycth_2296873,16.13,11.37,14.22,10.25
Mycth_2308758,13.45,10.73,8.61,10.24
Mycth_59585,8.11,10.85,9.66,10.07
Mycth_2293963,8.87,12.15,12.04,10.06
Mycth_2297782,7.31,7.79,7.94,10
Mycth_2312293,5.41,7.47,11.59,10
Mycth_2306267,9.67,10.34,42.1,9.97
Mycth_2069347,6.66,8.6,8.19,9.79
Mycth_2308968,22.84,12.28,11.56,9.77
Mycth_2295876,24.45,15.19,14.04,9.67
Mycth_2309021,12.03,10.9,10.42,9.64
Mycth_2305375,11.59,10.61,6.81,9.63
Mycth_2297954,2.09,8.87,10.53,9.36
Mycth_38558,1.84,1.16,10.8,9.22
Mycth_2308868,17.84,12.75,6.69,9.22
Mycth_2306215,2.89,2.58,5.82,9.15
Mycth_104106,3.59,3.03,5.7,8.73
Mycth_2299964,11.45,6.87,8.58,8.63
Mycth_41142,7.02,10.2,21.13,8.6
Mycth_2306064,16.59,17.16,8.07,8.53
Mycth_2296388,7.69,8.96,9.44,8.5
Mycth_2305759,4.23,4.5,8.08,8.1
Mycth_2122625,5.64,3.47,6.47,7.96
Mycth_2109689,0.68,1.37,3.85,7.94
Mycth_2113426,3.42,4.55,6.54,7.79
Mycth_2307568,1.55,3.44,9.36,7.78
Mycth_101972,0.59,0.86,10.11,7.62
Mycth_2294417,4.2,4.49,5.97,7.47
Mycth_2300313,16.23,10.98,7.62,7.3
Mycth_72932,12.36,22.6,5.61,7.19
Mycth_2053130,11.13,8.42,9.18,7.12
Mycth_78540,8.36,7.34,6.53,7.1
Mycth_2306216,1.86,5.08,6.5,7.09
Mycth_2307798,9.15,6.69,6.4,7.09
Mycth_2305738,2.2,1.04,12.41,7.06
Mycth_2305977,2.79,3.8,5.4,7.02
Mycth_2121801,0,0.17,1.07,7
Mycth_2313229,1.11,3.04,7.68,6.96
Mycth_2308984,2.31,3.28,4.94,6.95
Mycth_2062055,1.15,1.17,2.34,6.83
Mycth_2305742,7.72,6.32,7.62,6.76
Mycth_116363,31.65,114.35,6.42,6.61
Mycth_2124750,0.03,0,1.1,6.48
Mycth_2064169,8.89,8.07,11.98,6.43
Mycth_2309354,14.37,6.86,8.3,6.39
Mycth_2131308,7.51,10.4,5.76,6.39
Mycth_2295268,7.04,8.43,7.29,6.18
Mycth_2130973,4.65,7.6,8.55,6.16
Mycth_42937,13.2,4.33,12.2,6.15
Mycth_58882,0.64,4.47,16.42,6.14
Mycth_2295154,8.31,6.47,4.21,6.05
Mycth_2117807,0.82,0.27,3.82,6.04
Mycth_78568,38.08,17.22,8.75,5.98
Mycth_2298447,6.43,5.46,4.18,5.84
Mycth_2307267,1.26,1.35,3.97,5.76
Mycth_2063591,9.59,10.55,4.41,5.76
Mycth_2117759,6.95,5.03,5.58,5.63
Mycth_2308246,9.19,7.68,5.93,5.57
Mycth_2296962,8.44,5.41,6.92,5.49
Mycth_2294116,7.25,5.64,7.14,5.45
Mycth_2303155,0,0,3.24,5.43
Mycth_2071996,4.61,4.4,5.04,5.29
Mycth_2309656,0.68,2.83,3.34,5.28
Mycth_2108494,2.74,3.88,3.41,5.25
Mycth_2307897,7.26,6.69,5.46,5.18
Mycth_2119719,2.9,2.17,2.48,5.11
Mycth_2306121,3.61,3.64,3.66,5.05
Mycth_2296171,5.45,11.54,6.8,5.04
Mycth_90594,1.37,2.3,4.41,5
Mycth_2125728,2.98,3.92,3.22,4.96
Mycth_2057906,3.71,4.41,3.39,4.89
Mycth_54533,0.95,0.86,0.74,4.88
Mycth_2308283,8.7,13.65,12.88,4.87
Mycth_2303385,4,3.01,4.06,4.86
Mycth_2305316,1.22,2.89,3.25,4.83
Mycth_2144007,0.39,1.31,4.81,4.78
Mycth_2106506,1.56,1.9,3.3,4.75
Mycth_2296279,7.35,26.76,5.08,4.72
Mycth_2311323,0.03,0.05,2.74,4.7
Mycth_2304239,1.09,0.94,5.2,4.63
Mycth_33003,3.09,2.61,3.94,4.57
Mycth_2307514,2.55,2.2,3.95,4.54
Mycth_39035,3.92,1.08,4.73,4.51
Mycth_2309574,0,1.26,1.6,4.41
Mycth_2298086,0.4,1.31,3.45,4.38
Mycth_2303089,1.95,3.91,5.47,4.37
Mycth_2299721,4.14,5.67,3.94,4.34
Mycth_2307286,2.44,3.9,3.56,4.24
Mycth_2299923,3.64,6.8,3.59,4.03
Mycth_98773,3.01,4.65,2.7,3.92
Mycth_50705,0.31,1.37,6.4,3.91
Mycth_2121130,3.06,1.8,5.34,3.79
Mycth_2299267,3.35,2.12,3.26,3.77
Mycth_2296486,12.75,5.9,2.85,3.76
Mycth_2300733,1.92,1.97,2.04,3.67
Mycth_52332,6.34,2.28,8.83,3.64
Mycth_2311234,1.26,1.62,4.03,3.52
Mycth_2308420,0.15,0.67,3.03,3.47
Mycth_2308437,0.94,0.64,2.18,3.45
Mycth_26583,0.15,0.42,4.66,3.44
Mycth_2297244,3.67,5.8,4.46,3.41
Mycth_64299,4.61,2.3,5.55,3.37
Mycth_98521,4.34,2.91,3.29,3.33
Mycth_2064865,0.6,0.25,0.38,3.28
Mycth_2299495,10.5,2,2.36,3.27
Mycth_2303669,2.74,1.77,4.33,3.23
Mycth_2068755,3.13,3.25,2.94,3.16
Mycth_2107611,1.31,1.83,2.31,3.15
Mycth_96182,3.08,5.18,6.21,3.15
Mycth_2297292,0.43,1.15,1.18,3.13
Mycth_51856,1.94,2.63,2.57,3.11
Mycth_2070700,1.97,2.78,2.92,3.03
Mycth_100608,0.15,0.67,1.71,2.99
Mycth_2110653,0.26,0.56,1.63,2.94
Mycth_2300219,3.84,3.28,1,2.93
Mycth_2305857,27.28,12.93,5.05,2.83
Mycth_2307018,0.67,0.69,0.71,2.8
Mycth_2307519,1.08,2.52,2.16,2.67
Mycth_2128552,0.53,1.16,2.24,2.64
Mycth_2303110,3.03,3.64,3.95,2.59
Mycth_108391,2.64,2.88,2.01,2.52
Mycth_94536,0.27,0.08,2.67,2.45
Mycth_2063480,10.94,6.64,1.54,2.44
Mycth_2295431,0.72,0.99,1.97,2.43
Mycth_2305771,0.8,0.77,2.51,2.42
Mycth_2124399,0.91,1.05,1.38,2.4
Mycth_2070906,3.14,2.73,2.21,2.4
Mycth_2299900,1.35,1.52,1.84,2.32
Mycth_2311391,2.15,2.32,2.75,2.28
Mycth_2057540,4.75,3.86,2.55,2.27
Mycth_101800,1.25,1.15,0.93,2.25
Mycth_2309623,1.56,1.77,0.99,2.14
Mycth_10713,9.1,2.13,3.33,2.1
Mycth_2305147,0.93,1.15,1.46,2.09
Mycth_55803,0.47,0.16,1.3,2.06
Mycth_2299852,5.69,6.7,1.83,2.03
Mycth_2129052,0.16,0.75,1.22,1.98
Mycth_52068,0.37,0.6,1.56,1.97
Mycth_2297764,1.65,2.49,1.41,1.97
Mycth_2297192,3.25,1.72,1.99,1.91
Mycth_2301688,1.38,2.65,1.77,1.88
Mycth_2310276,0.98,0.75,2.35,1.82
Mycth_2313032,0.25,0.72,1.46,1.82
Mycth_76199,1.37,1.08,1.48,1.82
Mycth_2107194,0.08,0.64,0.08,1.74
Mycth_2301079,1.51,1.66,1.22,1.74
Mycth_101321,0.6,1.01,0.79,1.73
Mycth_2064957,4.15,3.73,2.11,1.7
Mycth_2296120,2.36,1.85,1.75,1.65
Mycth_2303256,4.82,3.96,2.3,1.52
Mycth_2122542,0.11,0.68,2.24,1.47
Mycth_2301832,1.33,1.7,3.23,1.46
Mycth_95272,1.06,2.66,1.56,1.45
Mycth_2309651,9.88,2.53,2.84,1.44
Mycth_2308392,1.27,1.57,2.55,1.43
Mycth_47093,1.27,2.32,1.64,1.43
Mycth_94982,1.94,1.71,1.31,1.42
Mycth_2120482,0.16,1.09,1.31,1.4
Mycth_2042719,0.23,0.14,0.25,1.38
Mycth_2067839,0.25,0.42,1.66,1.36
Mycth_2304973,1.77,3.08,1.14,1.32
Mycth_2059186,2.5,1.73,1.69,1.3
Mycth_2301526,3.73,3.45,1.87,1.29
Mycth_2118124,2,0.88,1.28,1.28
Mycth_2307873,1.25,1.61,1.49,1.21
Mycth_2308667,0.98,1.07,1.87,1.18
Mycth_2123382,1.11,0.43,1.58,1.17
Mycth_2307564,1.44,1.19,0.73,1.14
Mycth_2307299,0.55,0.32,0.75,1.13
Mycth_97448,1.15,1.7,1.87,1.12
Mycth_2122535,0.53,0.4,0.75,1.06
Mycth_2071955,0.31,0.23,0.42,1.02
Mycth_2067358,0.72,1.05,0.56,1.01
Mycth_2311254,0.19,3.02,2.44,0.97
Mycth_2310262,0.85,1.76,0.81,0.95
Mycth_2069662,3.33,1.06,2.31,0.94
Mycth_2311076,1.35,0.93,0.72,0.91
Mycth_2128682,0.84,1.15,0.45,0.89
Mycth_2299731,6.54,3.67,1.99,0.87
Mycth_2306673,7.82,1.19,0.9,0.85
Mycth_2124737,0.34,0.62,1.2,0.84
Mycth_98480,0.73,0.57,0.83,0.82
Mycth_2307608,4.13,2.91,0.94,0.82
Mycth_2311258,0.24,0.03,0.63,0.8
Mycth_2108717,0.64,0.39,1.58,0.79
Mycth_99786,6.07,3.16,4.38,0.79
Mycth_2059965,0.43,0.59,0.54,0.77
Mycth_2051955,0,0.42,0.48,0.74
Mycth_2295337,0.36,0.49,0.83,0.72
Mycth_2300167,0.29,0.59,0.54,0.71
Mycth_2301655,0.98,0.6,1.16,0.71
Mycth_2063133,0.74,0.37,1.06,0.71
Mycth_2122687,0.11,0.23,0.27,0.64
Mycth_2067982,1.47,0.38,0.73,0.63
Mycth_2069031,0.14,0.12,0,0.63
Mycth_2302055,0.5,0.15,1.25,0.62
Mycth_2299844,0.07,0.24,0.28,0.62
Mycth_2303166,1.51,0.45,0.75,0.6
Mycth_2305882,0.17,1.7,0.71,0.59
Mycth_2305805,0.45,0.44,0.61,0.59
Mycth_2127191,0.13,0.31,1.02,0.58
Mycth_40891,0.46,0.23,0.71,0.58
Mycth_101222,0.04,0.14,0.33,0.57
Mycth_2044732,0.25,0.23,0.38,0.57
Mycth_2126285,0.26,0.16,0.09,0.56
Mycth_89958,0.16,0,0.43,0.53
Mycth_43571,3.71,1.68,1.43,0.52
Mycth_2027194,0.84,1.54,0.6,0.5
Mycth_89251,0.51,1.32,0.76,0.48
Mycth_2110369,0.14,0,0,0.46
Mycth_2294824,0.49,0.08,0.61,0.46
Mycth_2049011,0.05,0.17,0.61,0.46
Mycth_2305637,0.83,0.19,0.4,0.46
Mycth_2308461,0.71,0.41,0.85,0.41
Mycth_2301856,0.97,0.79,1,0.36
Mycth_2061987,0.29,0.45,0.65,0.36
Mycth_2112475,0.09,0.2,0.41,0.36
Mycth_2129362,0.03,0.03,0.03,0.31
Mycth_103070,7.35,2.68,0.1,0.3
Mycth_2066939,0,0.07,0.16,0.29
Mycth_2129615,0.15,0.56,0.25,0.29
Mycth_2119721,0.24,0.78,0.65,0.28
Mycth_2111272,1.14,0.21,0.64,0.28
Mycth_2309782,0.6,0.14,0.24,0.28
Mycth_2303278,0.17,0,0.18,0.27
Mycth_2109142,0.47,0.36,0.33,0.25
Mycth_2110715,0,0,0.21,0.24
Mycth_2107631,0.33,0.37,0.54,0.24
Mycth_2065797,0.33,0.09,0.17,0.21
Mycth_2067458,0.26,0.31,0.24,0.21
Mycth_102849,0,0,0.41,0.21
Mycth_2119446,0.29,0.41,0.44,0.21
Mycth_2060315,0.15,0.13,0.21,0.2
Mycth_2061855,1.21,0.54,0.39,0.19
Mycth_2310985,0,0.13,0.07,0.13
Mycth_2057697,0.14,0.21,0.15,0.13
Mycth_2129532,0.12,0,0,0.11
Mycth_92683,0,0.22,0.25,0.11
Mycth_51627,0.04,0.02,0.02,0.1
Mycth_2120158,0.36,0.75,0.38,0.08
Mycth_2126499,0.18,0,0,0.08
Mycth_2126322,0.08,0.08,0,0.08
Mycth_2128656,0,0,0.17,0.08
Mycth_2120504,0,0,0,0.02
Mycth_2095444,0.02,0,0.02,0.02
Mycth_2311264,0.15,0.19,0.03,0
Mycth_2065851,0.1,0.05,0,0
Mycth_2310691,0.08,0.3,0.18,0
Mycth_2113983,0,0,0,0
Mycth_2119829,0,0,0,0
Mycth_2125573,0,0,0,0
Mycth_2128625,0,0,0,0
Mycth_38236,0,0,0.3,0
Mycth_55985,0,0,0,0
Mycth_56270,0,0,0.21,0
Mycth_95095,0,0,0.11,0
Mycth_97962,0,0.07,0.41,0
Mycth_2125938,0,0.11,0,0
